BuildingCode,Longitude,Latitude,Region,Province,Municipality,Barangay,Purok
2402000039,125.5851608,10.3215567,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000040,125.585702,10.3211141,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000043,125.5852664,10.3214265,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000045,125.5837379,10.3193289,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000046,125.5851576,10.3215585,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000050,125.5851546,10.3215613,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000052,125.5847963,10.3204515,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000054,125.5855068,10.3211105,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000056,125.5848165,10.3204373,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000058,125.585171,10.321571,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000060,125.5849563,10.3207138,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000062,125.5847558,10.3204281,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000064,125.5874987,10.3126266,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000066,125.5847298,10.3203953,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000068,125.5847639,10.3204455,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000070,125.5854067,10.3217683,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000072,125.5863533,10.3225033,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000074,125.5852667,10.3219633,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000076,125.5863067,10.3228433,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000078,125.5851433,10.3215598,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000080,125.5857467,10.3225833,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000082,125.585155,10.32154,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000085,125.5847636,10.3171234,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000087,125.5847636,10.3171234,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000089,125.5848597,10.3206139,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000091,125.5848597,10.3206139,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000093,125.5851509,10.3215298,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000095,125.5847636,10.3171234,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000097,125.5851433,10.3215598,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000100,125.5851433,10.3215598,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000102,125.5854022,10.321252,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000104,125.5851547,10.3215648,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000106,125.5847168,10.3190189,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000108,125.5847939,10.3206301,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000110,125.5842524,10.31910352,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000114,125.5837379,10.3193289,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000116,125.5837379,10.3193289,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000118,125.5848628,10.3206121,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000120,125.5849023,10.320649,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000122,125.5857245,10.3216423,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000124,125.5850222,10.3211593,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000126,125.584641,10.3204218,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000128,125.5851774,10.3215816,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000130,125.5848707,10.320613,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000132,125.5848596,10.3206064,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000134,125.5859103,10.3209204,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4
2402000136,125.5559644,10.3297145,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000138,125.5560476,10.3310527,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000140,125.5563716,10.3309237,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000142,125.5563551,10.3308386,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000144,125.5564425,10.3306125,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000146,125.5563158,10.3307388,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000148,125.556172,10.3309719,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000150,125.5561871,10.3306898,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000152,125.5563017,10.3307239,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000155,125.5562757,10.3307116,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000157,125.5562946,10.3307232,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000159,125.5562492,10.3307402,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000161,125.5562282,10.3307323,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000163,125.5558714,10.3306259,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 2
2402000165,125.5536978,10.3471879,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000167,125.5536944,10.3472137,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000169,125.5536893,10.3471842,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000171,125.5536985,10.3472182,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000173,125.5534767,10.3470524,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000174,125.5536679,10.3472254,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000175,125.5536958,10.3471955,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000177,125.5534556,10.3465312,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000179,125.5534117,10.3465618,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000181,125.5532141,10.3466342,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000183,125.55339,10.3465873,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000186,125.5534254,10.3465405,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000190,125.5534709,10.3465031,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000192,125.5534872,10.3464605,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000195,125.5534983,10.3464497,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000198,125.5534574,10.3465208,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000202,125.5534081,10.3472838,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000205,125.5534099,10.3465763,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000208,125.5534505,10.3465401,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000210,125.553461,10.3475917,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 1
2402000212,125.5534164,10.3465662,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000214,125.5848555,10.3197562,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000216,125.5848125,10.3192999,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000218,125.584775,10.3189915,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000220,125.584775,10.3189915,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000221,125.584775,10.3189915,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000223,125.58474,10.3188002,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000225,125.5847636,10.3171234,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000227,125.5847852,10.3192522,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000229,125.5847852,10.3192522,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000231,125.5847944,10.3189755,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000233,125.5847817,10.3189675,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000234,125.5847636,10.3171234,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000236,125.5847816,10.3189925,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000237,125.5847682,10.3189321,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000238,125.5847682,10.3189321,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000240,125.5847034,10.3190283,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000242,125.5847244,10.3190261,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000244,125.5847636,10.3171234,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000246,125.5847431,10.3188127,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000248,125.5847636,10.3171234,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000250,125.5874987,10.3129232,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000252,125.5874987,10.3129232,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000254,125.5837379,10.3193289,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000257,125.5874987,10.3129232,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000259,125.5837379,10.3193289,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000261,125.5874987,10.3129232,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000262,125.5856765,10.3206569,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000264,125.5847434,10.3187164,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000266,125.5847311,10.3188054,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000268,125.5555477,10.32757003,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000271,125.584975,10.3195233,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000273,125.5846683,10.3197167,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000275,125.5851867,10.3194267,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000277,125.5850333,10.3192483,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000279,125.5849217,10.3193133,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000281,125.58536,10.31842,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000283,125.58437,10.3188867,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000285,125.5847786,10.3189532,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000287,125.5847865,10.3190511,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000289,125.5847167,10.3190492,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000291,125.5847636,10.3171234,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000293,125.5847636,10.3171234,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000295,125.5188497,10.3090952,Caraga,Dinagat Islands,Tubajon,Imelda,Purok 4
2402000300,125.5536184,10.3474514,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000302,125.5538383,10.347135,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000305,125.5534683,10.34651,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000307,125.553665,10.347145,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000309,125.5562623,10.33964473,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000311,125.5535767,10.3460233,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000313,125.5537417,10.34633,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000315,125.5534547,10.3475616,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000317,125.5536877,10.3470863,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000320,125.5847636,10.3171234,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000322,125.5844317,10.3186183,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000324,125.584764,10.3189748,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000326,125.5846062,10.3162326,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000328,125.5915467,10.3129183,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000330,125.5893517,10.3166433,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000331,125.5861133,10.318025,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000334,125.5825033,10.3167283,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000336,125.584895,10.3195133,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000338,125.58473,10.3194,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000340,125.5858183,10.3178067,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000342,125.5849583,10.3192317,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2402000344,125.5534331,10.3474709,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000346,125.5478142,10.31772349,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000348,125.5609278,10.31689045,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000350,125.547857,10.3177167,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000352,125.5478902,10.31770803,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000354,125.5586123,10.31628547,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000356,125.5479103,10.31770715,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000358,125.2606843,10.2869961,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000360,125.5636616,10.31614224,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000362,125.5559773,10.31615182,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000364,125.2627438,10.3176773,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 1
2402000366,125.559251,10.31570395,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 2
2402000368,125.2634303,10.3187819,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 1
2402000370,125.5477546,10.31773241,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 1
2402000372,125.5477747,10.31772902,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 1
2402000374,125.5479438,10.31770375,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 2
2402000376,125.5590416,10.31282582,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 2
2402000378,125.5605176,10.314447,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 2
2402000380,125.556408,10.33973978,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 2
2402000382,125.5535117,10.3475734,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 1
2402000385,125.5533883,10.3477718,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 1
2402000387,125.5535361,10.3477497,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 1
2402000389,125.5535256,10.3477663,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 1
2402000392,125.5535277,10.3479609,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 1
2402000394,125.6236195,10.2608605,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000396,125.6240717,10.2602617,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000398,125.6261774,10.2593177,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000400,125.6261714,10.2593139,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000403,125.6234833,10.260525,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000405,125.623655,10.2608333,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000407,125.6236242,10.2608602,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000409,125.624035,10.259905,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000413,125.623735,10.2610917,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000416,125.62356,10.2609783,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000418,125.546937,10.31778519,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000422,125.547739,10.31773957,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000424,125.6239633,10.26048,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000426,125.6228233,10.2616417,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000428,125.6228583,10.2615933,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000430,125.6229367,10.2616983,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000432,125.6229933,10.26141,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000434,125.6224183,10.2617583,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000436,125.622545,10.2620917,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000438,125.6226367,10.2621217,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000440,125.622125,10.2624583,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000442,125.620912,10.25584839,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000444,125.6209507,10.25590687,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000446,125.6209625,10.25594401,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000448,125.6209373,10.25588553,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000450,125.6209978,10.25588627,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000452,125.62325,10.2611683,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2402000454,125.5641619,10.31673976,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000457,125.5532102,10.34660781,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000459,125.5533332,10.34665513,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000461,125.553404,10.34657013,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000463,125.5531878,10.3463425,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000465,125.5534066,10.34645147,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000467,125.5538177,10.34636964,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000469,125.5531633,10.34632048,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000471,125.5535182,10.34636386,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000473,125.5534612,10.34641043,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000475,125.5538127,10.34612491,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000477,125.5533816,10.34628431,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000480,125.5535363,10.34635992,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 3
2402000482,125.5536073,10.34788346,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 1
2402000485,125.5530684,10.34826732,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 2
2402000487,125.5532317,10.34796149,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 1
2402000489,125.5531523,10.34807462,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 2
2402000491,125.5533382,10.34821939,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 2
2402000493,125.5531191,10.34849332,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 2
2402000495,125.5529402,10.34862698,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 2
2402000498,125.5529313,10.34829248,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 2
2402000500,125.5527372,10.34854605,Caraga,Dinagat Islands,Tubajon,Roxas,Purok 2
